TreeSHAP::dX,TreeSHAP::VEC,TreeSHAP::sigma,TreeSHAP::dHmix,TreeSHAP::dSmix,base_value_K,fitted_TC_K,observed_TC_K,reference_id
70.57263046299212,-61.824335499984116,-22.790038399202285,2.1448103834510337,-3.3960664152291473,209.0496451227669,193.75664565479428,198.0,[1]
17.495358217728047,-58.996060093660155,28.971701983863007,14.98662547004372,-18.353120200550155,209.0496451227669,193.15415050019135,193.0,[1]
62.11946866090207,-45.15174213653542,-27.8570863859469,2.2484912683910587,-15.131910185357238,209.0496451227669,185.2768663442203,186.0,[1]
56.91737214141347,-44.72030917734501,-29.53975626067461,1.4815318629288547,-11.90397792740932,209.0496451227669,181.28450576168015,181.0,[1]
56.91737214141347,-44.72030917734501,-29.53975626067461,1.4815318629288547,-11.90397792740932,209.0496451227669,181.28450576168015,181.0,[1]
12.384643214100379,-27.539200659245417,-19.741694776785213,8.898789381794243,-7.251238664310411,209.0496451227669,175.80094361832076,176.0,[1]
16.71832134571706,-43.100367643365004,-26.11682204090455,-0.9543714792110807,1.2055034796542639,209.0496451227669,156.80190878465768,160.0,[2]
-7.655182589100823,-69.00134701733293,-25.357670063100745,3.8918440371709018,45.21588265201856,209.0496451227669,156.1431721424219,163.9,[2]
-38.475212850088376,-81.32319556470821,-33.37604185533851,18.030124226502775,-18.75010685321333,209.0496451227669,55.15521222592133,55.0,[3]
-32.665029976071814,-77.30992631427482,-42.173904515332964,-0.6019087042565634,-18.093099736950172,209.0496451227669,38.20577587588054,39.0,[3]
-27.948294085464436,-78.9106783196883,-47.99038421798471,-16.888003582140026,-12.288462648863664,209.0496451227669,25.023822268625807,25.0,[3]
20.762657018602145,-99.00914276763282,-9.525170709791645,6.291908875855671,62.8448220926405,209.0496451227669,190.4147196324411,190.0,[4]
12.370713434359473,-68.40294958625984,22.16360606899701,-13.573479085547008,-33.83666226589831,209.0496451227669,127.77087368841791,127.0,[4]
16.93785467921015,-82.31437590220615,-5.432275107174214,4.29597765076275,-21.25414525189761,209.0496451227669,121.28268119146202,120.0,[4]
