feature_set,model,fold,train_references,test_references,test_tc_min,test_tc_max,test_tc_mean
combined,DummyMean,3,[10];[11];[12];[13];[14];[15];[16];[17];[18];[19];[1];[21];[22];[23];[24];[25];[26];[27];[28];[29];[2];[30];[31];[32];[34];[35];[36];[37];[38];[39];[3];[40];[41];[42];[4];[5];[6];[7];[8];[9],[20];[33],33.6,685.0,192.2421052631579
combined,DummyMean,4,[10];[11];[12];[14];[15];[16];[17];[18];[19];[1];[20];[21];[22];[23];[24];[25];[26];[27];[28];[29];[2];[30];[31];[33];[34];[35];[36];[37];[38];[39];[3];[40];[41];[42];[4];[7];[8];[9],[13];[32];[5];[6],29.0,327.6,212.8714285714286
combined,DummyMean,5,[10];[11];[12];[13];[14];[16];[17];[18];[19];[1];[20];[21];[22];[24];[25];[26];[27];[29];[2];[30];[31];[32];[33];[34];[35];[36];[37];[38];[39];[3];[40];[41];[42];[4];[5];[6];[7];[8],[15];[23];[28];[9],47.0,395.0,206.0
combined,DummyMean,6,[12];[13];[14];[15];[16];[17];[18];[19];[1];[20];[21];[22];[23];[24];[25];[26];[27];[28];[29];[30];[31];[32];[33];[34];[36];[37];[39];[3];[40];[41];[42];[4];[5];[6];[7];[8];[9],[10];[11];[2];[35];[38],44.0,455.0,176.15714285714287
combined,DummyMean,7,[10];[11];[12];[13];[14];[15];[16];[19];[1];[20];[21];[22];[23];[24];[26];[27];[28];[29];[2];[30];[31];[32];[33];[34];[35];[36];[37];[38];[39];[3];[40];[41];[42];[4];[5];[6];[7];[9],[17];[18];[25];[8],39.0,736.0,251.57142857142858
combined,DummyMean,8,[10];[11];[12];[13];[14];[15];[16];[17];[18];[19];[1];[20];[21];[22];[23];[24];[25];[26];[27];[28];[29];[2];[30];[31];[32];[33];[34];[35];[36];[38];[39];[3];[40];[42];[5];[6];[8];[9],[37];[41];[4];[7],9.0,387.0,197.84615384615384
combined,DummyMean,9,[10];[11];[12];[13];[14];[15];[16];[17];[18];[19];[1];[20];[22];[23];[25];[26];[27];[28];[29];[2];[30];[31];[32];[33];[34];[35];[36];[37];[38];[3];[40];[41];[4];[5];[6];[7];[8];[9],[21];[24];[39];[42],10.0,385.0,202.41666666666666
combined,DummyMean,10,[10];[11];[12];[13];[14];[15];[16];[17];[18];[19];[1];[20];[21];[23];[24];[25];[26];[27];[28];[2];[31];[32];[33];[34];[35];[36];[37];[38];[39];[3];[41];[42];[4];[5];[6];[7];[8];[9],[22];[29];[30];[40],35.0,340.0,183.33333333333334
combined,Ridge,1,[10];[11];[13];[15];[17];[18];[19];[1];[20];[21];[22];[23];[24];[25];[27];[28];[29];[2];[30];[31];[32];[33];[34];[35];[37];[38];[39];[3];[40];[41];[42];[4];[5];[6];[7];[8];[9],[12];[14];[16];[26];[36],8.0,412.0,242.66666666666666
combined,Ridge,2,[10];[11];[12];[13];[14];[15];[16];[17];[18];[20];[21];[22];[23];[24];[25];[26];[28];[29];[2];[30];[32];[33];[35];[36];[37];[38];[39];[40];[41];[42];[4];[5];[6];[7];[8];[9],[19];[1];[27];[31];[34];[3],25.0,560.0,223.57142857142858
combined,Ridge,3,[10];[11];[12];[13];[14];[15];[16];[17];[18];[19];[1];[21];[22];[23];[24];[25];[26];[27];[28];[29];[2];[30];[31];[32];[34];[35];[36];[37];[38];[39];[3];[40];[41];[42];[4];[5];[6];[7];[8];[9],[20];[33],33.6,685.0,192.2421052631579
combined,Ridge,4,[10];[11];[12];[14];[15];[16];[17];[18];[19];[1];[20];[21];[22];[23];[24];[25];[26];[27];[28];[29];[2];[30];[31];[33];[34];[35];[36];[37];[38];[39];[3];[40];[41];[42];[4];[7];[8];[9],[13];[32];[5];[6],29.0,327.6,212.8714285714286
combined,Ridge,5,[10];[11];[12];[13];[14];[16];[17];[18];[19];[1];[20];[21];[22];[24];[25];[26];[27];[29];[2];[30];[31];[32];[33];[34];[35];[36];[37];[38];[39];[3];[40];[41];[42];[4];[5];[6];[7];[8],[15];[23];[28];[9],47.0,395.0,206.0
combined,Ridge,6,[12];[13];[14];[15];[16];[17];[18];[19];[1];[20];[21];[22];[23];[24];[25];[26];[27];[28];[29];[30];[31];[32];[33];[34];[36];[37];[39];[3];[40];[41];[42];[4];[5];[6];[7];[8];[9],[10];[11];[2];[35];[38],44.0,455.0,176.15714285714287
