target_window,window_low_K,window_high_K,descriptor_family,positive_percentile_low,positive_percentile_high,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,prevalence,enrichment
250–350 K,250.0,350.0,VEC;avg_d_valence_electrons;mag_moment_mean,5.0,95.0,141,34,26,93,14,8,0.65,0.7647058823529411,0.8691588785046729,0.816932380428807,0.7027027027027027,0.6015022733012312,0.24113475177304963,2.695588235294118
280–320 K,280.0,320.0,VEC;sigma;dHmix;dSmix,10.0,90.0,141,19,11,114,8,8,0.5789473684210527,0.5789473684210527,0.9344262295081968,0.7566867989646247,0.5789473684210527,0.5133735979292493,0.1347517730496454,4.296398891966759
300–400 K,300.0,400.0,VEC;avg_d_valence_electrons;mag_moment_mean,5.0,95.0,141,23,17,104,14,6,0.5483870967741935,0.7391304347826086,0.8813559322033898,0.8102431834929993,0.6296296296296297,0.5535539779036093,0.16312056737588654,3.3618513323983166
