mode,feature_set,mean_r2,std_r2,median_r2,q1_r2,q3_r2,mean_rmse,std_rmse,median_rmse,q1_rmse,q3_rmse,mean_mae,std_mae,median_mae,q1_mae,q3_mae,model,validation,candidate_count,best_params_global,oof_r2,oof_rmse,oof_mae,n_records_used,n_features,time_sec
grouped_full,combined,0.7955454184512301,0.23136563217253703,0.8365410748600686,0.7974980098788385,0.9452912637629853,57.93721288094174,37.47749015315097,48.366778981197086,29.983773158760034,70.94565320983628,37.999696738159834,25.476457123821852,27.961300586045667,21.792732678202615,46.96400039965526,Gradient Boosting,nested,60,nested_per_fold,0.7899626139630641,74.25100105291145,40.94752454679168,199,11,117.97090172767639
grouped_full,hea,0.8229395417551878,0.13802206995685515,0.8431363116372086,0.7869947169995879,0.9007767352050144,62.26711232083119,37.844548865559766,47.575770407408584,36.411772723061986,74.77383429232576,35.54300607747332,19.616587388442987,28.855183444435227,22.813799599213716,39.21283998069644,LightGBM,nested,60,nested_per_fold,0.8017648418764217,72.13472020415166,35.310258278180186,199,5,22.178784608840942
grouped_full,matminer,0.5978320898673948,0.45924592700466266,0.7726412473363209,0.6677307519720906,0.862950738821024,79.91875708662411,41.51328314543074,71.96468076436847,49.5051243720004,112.80504044196323,50.945123013864645,24.026850035764962,45.7963218254326,34.65642961941125,71.48127257836667,Random Forest,nested,60,nested_per_fold,0.6992861839029229,88.84453154580191,50.3249106200616,199,6,151.54765844345093
unique,combined,0.7972049408376428,0.10310474625587289,0.8239444015256929,0.7208140385369807,0.8791050756693561,62.98560215379386,16.670367818467877,63.77350297317008,48.33431699490672,73.01384596744941,38.166036767759124,7.494998070322073,34.48806510429482,32.866580809525566,44.57092132480978,Gradient Boosting,nested,60,nested_per_fold,0.8094967580817014,65.17955043951424,38.21880520980162,141,11,115.94971895217896
unique,hea,0.8254529181679267,0.07655743637483878,0.8539069773162269,0.805066469704009,0.8711813718457446,60.75769796330725,21.383063204995896,52.792553351534224,46.111075622879255,80.36494198370201,35.078969789888376,7.971358666743603,34.05690336536283,29.231688601885196,41.34443859904892,Gradient Boosting,nested,60,nested_per_fold,0.8146592434908093,64.2903279298358,35.134796079665975,141,5,107.33808827400208
unique,matminer,0.8429786215589656,0.15059588639547256,0.930012576142242,0.7125217325195303,0.9613863253936303,50.76457076918954,32.78165135686678,36.95822559239642,31.722519721065538,61.57637587232562,34.754659688957005,19.942327313788912,29.02978159087216,22.458110174122787,41.57014312823807,LightGBM,nested,60,nested_per_fold,0.8402180232090108,59.693091322076135,34.8372969320673,141,6,18.99099326133728
