repeat,outer_fold,objective,candidate,features,n_features,q_low,q_high,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment,bounds_json
0,1,robust_mcc,SHAP_top_2,mag_moment_mean;melting_point_mean,2,0.0,100.0,122,33,28,75,14,5,0.6666666666666666,0.8484848484848485,0.8426966292134831,0.8455907388491658,0.7466666666666666,0.6462111183218237,0.27049180327868855,2.464646464646464,"{""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
0,1,legacy_f1,SHAP_top_2,mag_moment_mean;melting_point_mean,2,0.0,100.0,122,33,28,75,14,5,0.6666666666666666,0.8484848484848485,0.8426966292134831,0.8455907388491658,0.7466666666666666,0.6462111183218237,0.27049180327868855,2.464646464646464,"{""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
0,2,robust_mcc,SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,20.0,80.0,124,26,8,93,5,18,0.6153846153846154,0.3076923076923077,0.9489795918367347,0.6283359497645212,0.4102564102564103,0.3410710600121617,0.20967741935483872,2.93491124260355,"{""avg_d_valence_electrons"": [4.892855, 7.1], ""mag_moment_mean"": [0.5168444456226068, 0.8509708653448276]}"
0,2,legacy_f1,SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,0.0,100.0,124,26,12,83,15,14,0.4444444444444444,0.46153846153846156,0.8469387755102041,0.6542386185243328,0.4528301886792453,0.30426716290522465,0.20967741935483872,2.1196581196581197,"{""avg_d_valence_electrons"": [3.701747, 7.195], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
0,3,robust_mcc,SHAP_top_2,avg_d_valence_electrons;melting_point_mean,2,0.0,100.0,124,29,18,78,17,11,0.5142857142857142,0.6206896551724138,0.8210526315789474,0.7208711433756806,0.5625,0.41543276975733695,0.23387096774193547,2.199014778325123,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
0,3,legacy_f1,SHAP_top_2,avg_d_valence_electrons;melting_point_mean,2,0.0,100.0,124,29,18,78,17,11,0.5142857142857142,0.6206896551724138,0.8210526315789474,0.7208711433756806,0.5625,0.41543276975733695,0.23387096774193547,2.199014778325123,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
0,4,robust_mcc,SHAP_top_2,mag_moment_mean;melting_point_mean,2,0.0,100.0,128,31,24,85,12,7,0.6666666666666666,0.7741935483870968,0.8762886597938144,0.8252411040904556,0.7164179104477612,0.6198077072462999,0.2421875,2.7526881720430105,"{""mag_moment_mean"": [0.4552691231034483, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1744.7971]}"
0,4,legacy_f1,SHAP_top_2,mag_moment_mean;melting_point_mean,2,0.0,100.0,128,31,24,85,12,7,0.6666666666666666,0.7741935483870968,0.8762886597938144,0.8252411040904556,0.7164179104477612,0.6198077072462999,0.2421875,2.7526881720430105,"{""mag_moment_mean"": [0.4552691231034483, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1744.7971]}"
0,5,robust_mcc,SHAP_top_2,avg_d_valence_electrons;melting_point_mean,2,0.0,100.0,130,32,21,82,16,11,0.5675675675675675,0.65625,0.8367346938775511,0.7464923469387755,0.6086956521739131,0.47062947846125647,0.24615384615384617,2.305743243243243,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""melting_point_mean"": [1536.19443048, 1866.894444444445]}"
0,5,legacy_f1,SHAP_top_2,avg_d_valence_electrons;melting_point_mean,2,0.0,100.0,130,32,21,82,16,11,0.5675675675675675,0.65625,0.8367346938775511,0.7464923469387755,0.6086956521739131,0.47062947846125647,0.24615384615384617,2.305743243243243,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""melting_point_mean"": [1536.19443048, 1866.894444444445]}"
