repeat,outer_fold,rule,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment
1,3,v2_nested_legacy_f1,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
1,3,v1_rederived,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
1,4,v2_nested,12,2,1,10,0,1,1.0,0.5,1.0,0.75,0.6666666666666666,0.674199862463242,0.16666666666666666,6.0
1,4,v2_nested_legacy_f1,12,2,1,10,0,1,1.0,0.5,1.0,0.75,0.6666666666666666,0.674199862463242,0.16666666666666666,6.0
1,4,v1_rederived,12,2,1,10,0,1,1.0,0.5,1.0,0.75,0.6666666666666666,0.674199862463242,0.16666666666666666,6.0
1,5,v2_nested,15,6,6,8,1,0,0.8571428571428571,1.0,0.8888888888888888,0.9444444444444444,0.923076923076923,0.8728715609439694,0.4,2.142857142857143
1,5,v2_nested_legacy_f1,15,6,6,8,1,0,0.8571428571428571,1.0,0.8888888888888888,0.9444444444444444,0.923076923076923,0.8728715609439694,0.4,2.142857142857143
1,5,v1_rederived,15,6,0,9,0,6,0.0,0.0,1.0,0.5,0.0,0.0,0.4,0.0
1,6,v2_nested,14,2,0,11,1,2,0.0,0.0,0.9166666666666666,0.4583333333333333,0.0,-0.11322770341445956,0.14285714285714285,0.0
1,6,v2_nested_legacy_f1,14,2,0,11,1,2,0.0,0.0,0.9166666666666666,0.4583333333333333,0.0,-0.11322770341445956,0.14285714285714285,0.0
1,6,v1_rederived,14,2,0,12,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.14285714285714285,0.0
1,7,v2_nested,12,3,1,6,3,2,0.25,0.3333333333333333,0.6666666666666666,0.5,0.28571428571428575,0.0,0.25,1.0
1,7,v2_nested_legacy_f1,12,3,1,6,3,2,0.25,0.3333333333333333,0.6666666666666666,0.5,0.28571428571428575,0.0,0.25,1.0
1,7,v1_rederived,12,3,3,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,4.0
1,8,v2_nested,15,5,5,3,7,0,0.4166666666666667,1.0,0.3,0.65,0.5882352941176471,0.35355339059327373,0.3333333333333333,1.2500000000000002
1,8,v2_nested_legacy_f1,15,5,1,3,7,4,0.125,0.2,0.3,0.25,0.15384615384615385,-0.472455591261534,0.3333333333333333,0.375
1,8,v1_rederived,15,5,1,3,7,4,0.125,0.2,0.3,0.25,0.15384615384615385,-0.472455591261534,0.3333333333333333,0.375
1,9,v2_nested,13,3,1,6,4,2,0.2,0.3333333333333333,0.6,0.4666666666666667,0.25,-0.05773502691896257,0.23076923076923078,0.8666666666666667
1,9,v2_nested_legacy_f1,13,3,1,6,4,2,0.2,0.3333333333333333,0.6,0.4666666666666667,0.25,-0.05773502691896257,0.23076923076923078,0.8666666666666667
1,9,v1_rederived,13,3,3,9,1,0,0.75,1.0,0.9,0.95,0.8571428571428571,0.8215838362577492,0.23076923076923078,3.25
1,10,v2_nested,12,2,2,5,5,0,0.2857142857142857,1.0,0.5,0.75,0.4444444444444445,0.37796447300922725,0.16666666666666666,1.7142857142857142
1,10,v2_nested_legacy_f1,12,2,2,9,1,0,0.6666666666666666,1.0,0.9,0.95,0.8,0.7745966692414834,0.16666666666666666,4.0
1,10,v1_rederived,12,2,2,9,1,0,0.6666666666666666,1.0,0.9,0.95,0.8,0.7745966692414834,0.16666666666666666,4.0
2,1,v2_nested,19,1,1,14,4,0,0.2,1.0,0.7777777777777778,0.8888888888888888,0.33333333333333337,0.3944053188733077,0.05263157894736842,3.8000000000000003
2,1,v2_nested_legacy_f1,19,1,1,14,4,0,0.2,1.0,0.7777777777777778,0.8888888888888888,0.33333333333333337,0.3944053188733077,0.05263157894736842,3.8000000000000003
2,1,v1_rederived,19,1,1,16,2,0,0.3333333333333333,1.0,0.8888888888888888,0.9444444444444444,0.5,0.5443310539518174,0.05263157894736842,6.333333333333333
2,2,v2_nested,17,8,0,9,0,8,0.0,0.0,1.0,0.5,0.0,0.0,0.47058823529411764,0.0
2,2,v2_nested_legacy_f1,17,8,6,9,0,2,1.0,0.75,1.0,0.875,0.8571428571428571,0.7833494518006403,0.47058823529411764,2.125
2,2,v1_rederived,17,8,0,9,0,8,0.0,0.0,1.0,0.5,0.0,0.0,0.47058823529411764,0.0
2,3,v2_nested,13,2,1,11,0,1,1.0,0.5,1.0,0.75,0.6666666666666666,0.67700320038633,0.15384615384615385,6.5
2,3,v2_nested_legacy_f1,13,2,1,11,0,1,1.0,0.5,1.0,0.75,0.6666666666666666,0.67700320038633,0.15384615384615385,6.5
2,3,v1_rederived,13,2,1,11,0,1,1.0,0.5,1.0,0.75,0.6666666666666666,0.67700320038633,0.15384615384615385,6.5
2,4,v2_nested,13,3,2,9,1,1,0.6666666666666666,0.6666666666666666,0.9,0.7833333333333333,0.6666666666666666,0.5666666666666667,0.23076923076923078,2.8888888888888884
2,4,v2_nested_legacy_f1,13,3,2,9,1,1,0.6666666666666666,0.6666666666666666,0.9,0.7833333333333333,0.6666666666666666,0.5666666666666667,0.23076923076923078,2.8888888888888884
2,4,v1_rederived,13,3,2,9,1,1,0.6666666666666666,0.6666666666666666,0.9,0.7833333333333333,0.6666666666666666,0.5666666666666667,0.23076923076923078,2.8888888888888884
2,5,v2_nested,15,6,0,5,4,6,0.0,0.0,0.5555555555555556,0.2777777777777778,0.0,-0.4923659639173309,0.4,0.0
2,5,v2_nested_legacy_f1,15,6,0,5,4,6,0.0,0.0,0.5555555555555556,0.2777777777777778,0.0,-0.4923659639173309,0.4,0.0
2,5,v1_rederived,15,6,0,4,5,6,0.0,0.0,0.4444444444444444,0.2222222222222222,0.0,-0.5773502691896257,0.4,0.0
2,6,v2_nested,16,5,5,8,3,0,0.625,1.0,0.7272727272727273,0.8636363636363636,0.7692307692307693,0.674199862463242,0.3125,2.0
2,6,v2_nested_legacy_f1,16,5,5,8,3,0,0.625,1.0,0.7272727272727273,0.8636363636363636,0.7692307692307693,0.674199862463242,0.3125,2.0
2,6,v1_rederived,16,5,1,8,3,4,0.25,0.2,0.7272727272727273,0.4636363636363636,0.22222222222222224,-0.0778498944161523,0.3125,0.8
2,7,v2_nested,12,3,2,7,2,1,0.5,0.6666666666666666,0.7777777777777778,0.7222222222222222,0.5714285714285715,0.408248290463863,0.25,2.0
2,7,v2_nested_legacy_f1,12,3,1,7,2,2,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.25,1.3333333333333333
2,7,v1_rederived,12,3,3,6,3,0,0.5,1.0,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.5773502691896257,0.25,2.0
2,8,v2_nested,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
2,8,v2_nested_legacy_f1,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
2,8,v1_rederived,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
2,9,v2_nested,13,2,1,3,8,1,0.1111111111111111,0.5,0.2727272727272727,0.38636363636363635,0.1818181818181818,-0.17766726362967536,0.15384615384615385,0.7222222222222221
2,9,v2_nested_legacy_f1,13,2,1,3,8,1,0.1111111111111111,0.5,0.2727272727272727,0.38636363636363635,0.1818181818181818,-0.17766726362967536,0.15384615384615385,0.7222222222222221
2,9,v1_rederived,13,2,0,11,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.15384615384615385,0.0
2,10,v2_nested,11,2,2,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.18181818181818182,5.5
2,10,v2_nested_legacy_f1,11,2,0,9,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.18181818181818182,0.0
2,10,v1_rederived,11,2,2,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.18181818181818182,5.5
3,1,v2_nested,19,1,1,14,4,0,0.2,1.0,0.7777777777777778,0.8888888888888888,0.33333333333333337,0.3944053188733077,0.05263157894736842,3.8000000000000003
3,1,v2_nested_legacy_f1,19,1,1,14,4,0,0.2,1.0,0.7777777777777778,0.8888888888888888,0.33333333333333337,0.3944053188733077,0.05263157894736842,3.8000000000000003
3,1,v1_rederived,19,1,1,16,2,0,0.3333333333333333,1.0,0.8888888888888888,0.9444444444444444,0.5,0.5443310539518174,0.05263157894736842,6.333333333333333
3,2,v2_nested,17,8,5,0,9,3,0.35714285714285715,0.625,0.0,0.3125,0.45454545454545453,-0.49099025303098287,0.47058823529411764,0.7589285714285715
3,2,v2_nested_legacy_f1,17,8,4,0,9,4,0.3076923076923077,0.5,0.0,0.25,0.380952380952381,-0.588348405414552,0.47058823529411764,0.6538461538461539
3,2,v1_rederived,17,8,0,3,6,8,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,-0.6963106238227914,0.47058823529411764,0.0
3,3,v2_nested,12,2,2,9,1,0,0.6666666666666666,1.0,0.9,0.95,0.8,0.7745966692414834,0.16666666666666666,4.0
3,3,v2_nested_legacy_f1,12,2,2,9,1,0,0.6666666666666666,1.0,0.9,0.95,0.8,0.7745966692414834,0.16666666666666666,4.0
3,3,v1_rederived,12,2,1,9,1,1,0.5,0.5,0.9,0.7,0.5,0.4,0.16666666666666666,3.0
3,4,v2_nested,13,2,0,11,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.15384615384615385,0.0
3,4,v2_nested_legacy_f1,13,2,0,11,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.15384615384615385,0.0
3,4,v1_rederived,13,2,0,11,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.15384615384615385,0.0
