feature,mean_abs_shap,rank
mag_moment_mean,1.4533908417612107,1
avg_d_valence_electrons,1.4533901240691827,2
melting_point_mean,1.187196438702033,3
dSmix,0.5979114907407703,4
electronegativity_range,0.44115127274980837,5
VEC,0.3413763184707294,6
sigma,0.33672137681042114,7
nunfilled_mean,0.26376228323596806,8
dHmix,0.24883412310054964,9
dX,0.24074701729034326,10
bandgap_mean,0.04067272130034604,11
