candidate,features,n_features,q_low,q_high,MCC,balanced_accuracy,enrichment,recall,precision,F1,MCC_sd,BA_sd
HEA_VEC_sigma,VEC;sigma,2,0.0,100.0,0.32514647596616536,0.6874518966465091,1.6803031739626857,0.7029411764705883,0.40517948875695964,0.5140266336470568,0.013571423059684727,0.0075474140736309795
HEA_VEC_sigma,VEC;sigma,2,2.5,97.5,0.3188260599023468,0.6781198460692688,1.7652252930583998,0.6235294117647059,0.4256571628651461,0.5058963708904073,0.022330034520816795,0.012789217280659973
HEA_VEC_sigma,VEC;sigma,2,5.0,95.0,0.2139613574467385,0.6142660802638812,1.5840436231213983,0.47058823529411764,0.38196796585906057,0.4216431989063568,0.007536530922770207,0.003447966296133753
HEA_VEC_sigma,VEC;sigma,2,10.0,90.0,0.2074021558899441,0.6084387025838373,1.5950226244343892,0.44117647058823534,0.38461538461538464,0.4109589041095891,0.0,0.0
HEA_VEC_sigma,VEC;sigma,2,15.0,85.0,0.24104771764539373,0.6224573941726222,1.7350889572707093,0.44117647058823534,0.418390245015632,0.42903285972787264,0.027694179333516963,0.011232246964062291
HEA_VEC_sigma,VEC;sigma,2,20.0,80.0,0.22553419557863333,0.6124244090159429,1.713987450016862,0.4117647058823529,0.41330193830193834,0.4121522986858282,0.025420162792470783,0.01033216445593585
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,0.0,100.0,0.325361179245596,0.6688427707531611,1.9489679009802852,0.5264705882352941,0.4699638910165226,0.49655604862049013,0.011797533314588993,0.005670885386414994
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,2.5,97.5,0.3001101296212481,0.6453545904343045,2.0021723101508444,0.44117647058823534,0.4827933230150972,0.46069995980489625,0.02987807593209977,0.014763669809112812
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,5.0,95.0,0.1677027413604284,0.5711379879054426,1.692063224499286,0.2647058823529412,0.40801524562394126,0.3209478241057188,0.014313993164391553,0.0046468641402418655
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,10.0,90.0,0.24768328353689228,0.5846619021440352,2.363740671093612,0.2235294117647059,0.5699800199800199,0.3204386884571898,0.04366032317950447,0.014106746750168772
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,15.0,85.0,0.1932165283446287,0.5532985156679494,2.373039215686275,0.1411764705882353,0.5722222222222222,0.22588593576965668,0.03909383797302106,0.00820132100077471
